Username,Type,Entity
BorisJohnson,politician,UK
10DowningStreet,politician,UK
POTUS,politician,USA
JoeBiden,politician,USA
FLOTUS,politician,USA
SecBlinken,politician,USA
WhiteHouse,politician,USA
jensstoltenberg,politician,NATO
NATO,politician,NATO
vonderleyen,politician,EU
JosepBorrellF,politician,EU
eucopresident,politician,EU
EP_President,politician,EU
EU_Commission,politician,EU
Europarl_EN,politician,EU
eucopresident,politician,EU
DmytroKuleba,politician,Ukraine
Ukraine,politician,Ukraine
oleksiireznikov,politician,Ukraine
mfa_russia,politician,Russia
BelarusMFA,politician,Belarus
Tsihanouskaya,politician,Belarus
PolandMFA,politician,Poland
zlj517,politician,China
Canada,politician,Canada
GitanasNauseda,politician,Lithuania
sandumaiamd,politician,Moldova
SweMFA,politician,Sweden
swedense,politician,Sweden
ScottMorrisonMP,politician,Australia
NorwayMFA,politician,Norway
FinGovernment,politician,Finland
japan,politician,Japan
UN,politician,international
BBC,media,UK
BBCNews,media,UK
BBCWorld,media,UK
TelegraphNews,media,UK
Telegraph,media,UK
guardian,media,UK
guardiannews,media,UK
nytimes,media,USA
nypost,media,USA
washingtonpost,media,USA
cnnbrk,media,USA
cnn,media,USA
FoxNews,media,USA
Newsweek,media,USA
CNBC,media,USA
ABC,media,USA
KyivIndependent,media,Ukraine
KyivPost,media,Ukraine
MoscowTimes,media,Germany
dwnews,media,Germany
en_germany,media,Germany
BILD_English,media,Germany
France24_en,media,France
FRANCE24,media,France
TVPWorld_com,media,Poland
notesfrompoland,media,Poland
thewire_in,media,India
ndtvfeed,media,India
CBCNews,media,Canada
globeandmail,media,Canada
CP24,media,Canada
PDChina,media,China
japantimes,media,Japan
The_Japan_News,media,Japan
Diplomat_APAC,media,Japan
BBCAfrica,media,Africa
abcnews,media,Australia
9NewsAUS,media,Australia
AJENews,media,Qatar
AJEnglish,media,Qatar
euronews,media,EU
TIME,media,international
elonmusk,influential_person,USA
Pontifex,influential_person,Vatican
