data.username,data.name,data.description,data.id,data.verified,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,lastUpdate
BorisJohnson,Boris Johnson,Prime Minister of the United Kingdom and @Conservatives leader. Member of Parliament for Uxbridge and South Ruislip.,3131144855,TRUE,4443436,459,5767,10345,2022-05-22T11:40:49.615711Z
10DowningStreet,UK Prime Minister,"Official page for Prime Minister @BorisJohnson's office, based at 10 Downing Street",14224719,TRUE,5908953,303,17935,22466,2022-05-22T11:40:49.615711Z
POTUS,President Biden,"46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU",1349149096909668363,TRUE,22432127,12,3222,18064,2022-05-22T11:40:49.615711Z
JoeBiden,Joe Biden,"Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.",939091,TRUE,34267833,48,8223,39136,2022-05-22T11:40:49.615711Z
FLOTUS,Jill Biden,First Lady of the United States Jill Biden. Community college educator. Military mother. Grandmother. Wife of @POTUS.,1349154719386775552,TRUE,3901592,5,447,5010,2022-05-22T11:40:49.615711Z
SecBlinken,Secretary Antony Blinken,"Husband, dad, (very) amateur guitarist, and the 71st Secretary of State serving under the leadership of @POTUS Biden.",1350150750966603777,TRUE,1450013,38,2773,4826,2022-05-22T11:40:49.615711Z
WhiteHouse,The White House,Welcome to the Biden-Harris White House! Tweets may be archived: https://t.co/UbZQo0sWVf,1323730225067339784,TRUE,7080803,5,3574,10728,2022-05-22T11:40:49.615711Z
jensstoltenberg,Jens Stoltenberg,"",20796069,TRUE,716834,33367,3907,4384,2022-05-22T11:40:49.615711Z
NATO,NATO,"Working for peace, security and freedom for one billion people. Official Twitter account of the North Atlantic Treaty Organization. 
#NATO #WeAreNATO",83795099,TRUE,1457917,929,14811,8947,2022-05-22T11:40:49.615711Z
vonderleyen,Ursula von der Leyen,President of the @EU_Commission. Mother of seven. Brussels-born. European by heart. 🇪🇺,1146329871418843136,TRUE,1190633,210,3284,5727,2022-05-22T11:40:49.615711Z
JosepBorrellF,Josep Borrell Fontelles,High Representative of the EU for Foreign Affairs and Security Policy/Vice-President of @eu_commission #EUdiplomacy @eu_eeas My blog: https://t.co/isaaoLI4bK,1003895325025865730,TRUE,330434,211,5690,2692,2022-05-22T11:40:49.615711Z
eucopresident,Charles Michel,"Twitter channel of Charles Michel, President of the European Council. Managed by the media team @EUCouncil. Personal account: @CharlesMichel",196994616,TRUE,1283692,424,7678,9047,2022-05-22T11:40:49.615711Z
EP_President,Roberta Metsola,President of @Europarl_EN 🇪🇺.,818837224003289088,TRUE,354548,168,1512,2060,2022-05-22T11:40:49.615711Z
EU_Commission,European Commission 🇪🇺,News and information from the European Commission. Social media and data protection policy: https://t.co/Gz53Nebqre,157981564,TRUE,1697255,642,44242,14092,2022-05-22T11:40:49.615711Z
