"userId","name","fullName","description","verification","followersCount","followingCount","tweetCount","lastUpdate","lastTweetId","firstTweetId","lastTweetDate","firstTweetDate"
"1003895325025865730","JosepBorrellF","Josep Borrell Fontelles","High Representative of the EU for Foreign Affairs and Security Policy/Vice-President of @eu_commission #EUdiplomacy @eu_eeas My blog: https://t.co/isaaoLI4bK",TRUE,330434,211,5690,2022-05-22 11:40:49,"1520489431781756928","1478329661461614592",2022-04-30,2022-01-04
"1067849967811944448","GitanasNauseda","Gitanas Nausėda","President of the Republic of Lithuania",TRUE,94680,25,1179,2022-05-22 11:40:49,"1520112710343606272","1477267751353950208",2022-04-29,2022-01-01
"1146329871418843136","vonderleyen","Ursula von der Leyen","President of the @EU_Commission. Mother of seven. Brussels-born. European by heart. 🇪🇺",TRUE,1190633,210,3284,2022-05-22 11:40:49,"1520333095945347072","1477202943371743233",2022-04-30,2022-01-01
"1312028370088144896","Tsihanouskaya","Sviatlana Tsikhanouskaya","The national leader of Belarus / Telegram https://t.co/lL3cUFIMz0",TRUE,173901,814,4870,2022-05-22 11:40:49,"1520304013098598400","1477654482410516485",2022-04-30,2022-01-02
"1323730225067339784","WhiteHouse","The White House","Welcome to the Biden-Harris White House! Tweets may be archived: https://t.co/UbZQo0sWVf",TRUE,7080803,5,3574,2022-05-22 11:40:49,"1520481951769153540","1477114665398423557",2022-04-30,2022-01-01
"1349149096909668363","POTUS","President Biden","46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/HDhBZBkKpU",TRUE,22432127,12,3222,2022-05-22 11:40:49,"1520478183447011328","1477142568693637121",2022-04-30,2022-01-01
"1349154719386775552","FLOTUS","Jill Biden","First Lady of the United States Jill Biden. Community college educator. Military mother. Grandmother. Wife of @POTUS.",TRUE,3901592,5,447,2022-05-22 11:40:49,"1520404599244476417","1478792353469116419",2022-04-30,2022-01-05
"1350150750966603777","SecBlinken","Secretary Antony Blinken","Husband, dad, (very) amateur guitarist, and the 71st Secretary of State serving under the leadership of @POTUS Biden.",TRUE,1450013,38,2773,2022-05-22 11:40:49,"1520549397284720640","1477267088486109188",2022-04-30,2022-01-01
"14106476","KyivPost","KyivPost","The award-winning Kyiv Post is the top international source of English-language news about Ukraine since 1995.",TRUE,375584,1579,57754,2022-05-22 11:40:49,"1520427039341350912","1496196400060772359",2022-04-30,2022-02-22
"14138785","TelegraphNews","Telegraph Breaking News","The latest national and international news from the @Telegraph team.",TRUE,764556,246,211732,2022-05-22 11:40:49,"1520400408178475008","1478761207213481988",2022-04-30,2022-01-05
"14159148","UN","United Nations","Official account of the United Nations. 
For peace, dignity & equality on a healthy planet.",TRUE,15515410,1201,85113,2022-05-22 11:40:49,"1520509043294363648","1477098248825307137",2022-04-30,2022-01-01
"141627220","zlj517","Lijian Zhao 赵立坚","Spokesman & DDG, Information Department, Foreign Ministry, China. @MFA_China @SpokespersonCHN YouTube https://t.co/owWGn7HxYe Facebook https://t.co/Mkd9zCNrkU",TRUE,1392307,173391,69702,2022-05-22 11:40:49,"1520053309284835331","1477186505630121984",2022-04-29,2022-01-01
"14224719","10DowningStreet","UK Prime Minister","Official page for Prime Minister @BorisJohnson's office, based at 10 Downing Street",TRUE,5908953,303,17935,2022-05-22 11:40:49,"1520493967758012417","1477586129549410306",2022-04-30,2022-01-02
"14293310","TIME","TIME","News and current events from around the globe. Subscribe: https://t.co/yT0dueLEm0",TRUE,19061696,524,393201,2022-05-22 11:40:49,"1520546946590650373","1509116476426489861",2022-04-30,2022-03-30
"1462548977367359490","KyivIndependent","The Kyiv Independent","Independent English-language journalism in Ukraine.

Become our patron: https://t.co/4OIXdyilwG

Donate: https://t.co/SoNr2TVrxO",TRUE,2148331,20,5240,2022-05-22 11:40:49,"1520541929586544653","1515001905147166724",2022-04-30,2022-04-15
"147463326","The_Japan_News","The Japan News","News from The Japan News, the English-language sister publication of Japan's largest daily newspaper, The Yomiuri Shimbun.                          @JN_Japanese",TRUE,196136,34,16215,2022-05-22 11:40:49,"1520326355186978817","1477186732391297025",2022-04-30,2022-01-01
"147512019","SweMFA","Swedish Ministry for Foreign Affairs","MFA Communications Department, Stockholm. Developing #DigitalDiplomacy. We recommend reading our netiquette rules concerning comments here: https://t.co/0wuPSNE0te",TRUE,66051,2740,12413,2022-05-22 11:40:49,"1520048366431920128","1477954175346802688",2022-04-29,2022-01-03
"157981564","EU_Commission","European Commission 🇪🇺","News and information from the European Commission. Social media and data protection policy: https://t.co/Gz53Nebqre",TRUE,1697255,642,44242,2022-05-22 11:40:49,"1520434049461927937","1477202942121758721",2022-04-30,2022-01-01
"18424289","AJENews","Al Jazeera Breaking News","Breaking news from around the world. Follow @AJEnglish for news, unique perspectives, analysis, videos and more.",TRUE,2074131,172,144869,2022-05-22 11:40:49,"1519127804633554945","1477123342389768196",2022-04-27,2022-01-01
"19527964","MoscowTimes","The Moscow Times","Independent news from Russia since 1992. 

Photo: Alexander Avilov / Moskva News Agency",TRUE,186418,364,115744,2022-05-22 11:40:49,"1520541758601371648","1477132222171783169",2022-04-30,2022-01-01
"19636948","CP24","CP24","CP24 is Toronto and the GTA's #1 source for breaking news. For breaking news alerts on your phone, download our app https://t.co/pGf88z8tnI",TRUE,2173603,377,224877,2022-05-22 11:40:49,"1520542305987571712","1500219873095561223",2022-04-30,2022-03-05
"196994616","eucopresident","Charles Michel","Twitter channel of Charles Michel, President of the European Council. Managed by the media team @EUCouncil. Personal account: @CharlesMichel",TRUE,1283692,424,7678,2022-05-22 11:40:49,"1520108547157204992","1477203190160388096",2022-04-29,2022-01-01
"196994616","eucopresident","Charles Michel","Twitter channel of Charles Michel, President of the European Council. Managed by the media team @EUCouncil. Personal account: @CharlesMichel",TRUE,1283692,424,7678,2022-05-22 11:40:49,"1520108547157204992","1477203190160388096",2022-04-29,2022-01-01
"19701628","BBC","BBC","Our mission is to enrich your life and to inform, educate and entertain you, wherever you are.",TRUE,2030128,271,36899,2022-05-22 11:40:49,"1520391281108791296","1477202946102333440",2022-04-30,2022-01-01
"1994321","FRANCE24","FRANCE 24","🌍 International News 24/7 in 4 languages: 
@France24_fr - @France24_en - @France24_es - @France24_ar 
📱 https://t.co/xDU6EWz22o  ✉️ https://t.co/ZaaXsh7FeN",TRUE,3910357,455,368757,2022-05-22 11:40:49,"1520438351135866887","1506291959245193222",2022-04-30,2022-03-22
"20796069","jensstoltenberg","Jens Stoltenberg","",TRUE,716834,33367,3907,2022-05-22 11:40:49,"1519661070008344577","1478423775888740352",2022-04-28,2022-01-04
"20927633","swedense","Sweden.se","Hej! This is Sweden's official Twitter account. Managed by the https://t.co/JDCLs7Jjwa team and a moose at @SweInstitute. Community standards: https://t.co/W34cfgsxFe.",TRUE,145381,1075,19637,2022-05-22 11:40:49,"1520294078759325698","1478632201600348162",2022-04-30,2022-01-05
"21082756","en_germany","All about Germany | deutschland.de","Stay up to date on what's happening in 🇩🇪 and our global outreach to all regions of the 🌍.
Recommendations: @ger_trends & @ger_service
💡🔗 https://t.co/JTO1dmJvH5",TRUE,339087,2690,26169,2022-05-22 11:40:49,"1520391889345785857","1477172745897189380",2022-04-30,2022-01-01
"22993014","9NewsAUS","9News Australia","Australia's No.1: Follow @9NewsSyd | @9NewsMelb | @9NewsQueensland | @9NewsGoldCoast | @9NewsAdel | @9NewsDarwin | @9NewsPerth",TRUE,776965,245,333739,2022-05-22 11:40:49,"1520551776021327872","1502035158328881160",2022-04-30,2022-03-10
"2459609448","Canada","Canada #StandWithUkraine🇺🇦","Showcasing Canada to the world - français: @AuCanada - https://t.co/hKNrf2Ameu
#StandWithUkraine🇺🇦",TRUE,1082406,765,8386,2022-05-22 11:40:49,"1520401408150978562","1477278189818941440",2022-04-30,2022-01-01
"2467791","washingtonpost","The Washington Post","Democracy Dies in Darkness",TRUE,19211288,1714,427943,2022-05-22 11:40:49,"1520538882898640897","1514887268431015938",2022-04-30,2022-04-15
"25049056","France24_en","FRANCE 24 English","🌍 The French international news channel live 24/7 from Paris - Follow us for top stories on #business, #politics and #sports - 🔴 Breaking Alerts: @BreakingF24",TRUE,337428,1123,324576,2022-05-22 11:40:49,"1520502265370476547","1512318231666520078",2022-04-30,2022-04-08
"25067168","euronews","euronews","All Views | We tweet in 12 languages. Choose yours: https://t.co/GYMYe6YCRZ | You can DM us to contact the newsroom",TRUE,525416,1109,160760,2022-05-22 11:40:49,"1520473914098528259","1495354153606029315",2022-04-30,2022-02-20
"255471924","mfa_russia","MFA Russia 🇷🇺","Ministry of Foreign Affairs of Russia 🇷🇺 (Official account) | Country's account @Russia | По-русски @MID_RF | Español @MAE_Rusia | Arabic - @russia_ar",TRUE,550457,1443,67718,2022-05-22 11:40:49,"1520502866988912644","1477224540975550469",2022-04-30,2022-01-01
"2768501","abcnews","ABC News","Latest news updates (mostly automated) from the Australian Broadcasting Corp. This is an official @abcaustralia account.",TRUE,2038373,1182,353474,2022-05-22 11:40:49,"1520549288492732416","1515169727051493376",2022-04-30,2022-04-16
"28785486","ABC","ABC News","All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs",TRUE,17503760,488,386022,2022-05-22 11:40:49,"1520551640469843968","1516044415575498752",2022-04-30,2022-04-18
"2884771","Newsweek","Newsweek","The freedom to disagree.",TRUE,3550784,567,306551,2022-05-22 11:40:49,"1520544604302553094","1515048673893355522",2022-04-30,2022-04-15
"2885493519","DmytroKuleba","Dmytro Kuleba","Міністр закордонних справ України 🇺🇦 Minister of Foreign Affairs of Ukraine",TRUE,883179,219,7127,2022-05-22 11:40:49,"1520023186359963648","1477174068289933318",2022-04-29,2022-01-01
"292291704","FinGovernment","Finnish Government","Latest from the Government and Ministries of Finland. By the Communications Department, Prime Minister’s Office. 

https://t.co/NvmQ5ojuyh…",TRUE,40412,142,13210,2022-05-22 11:40:49,"1520343219762049024","1477960679839744002",2022-04-30,2022-01-03
"297925007","BelarusMFA","Belarus MFA 🇧🇾","Official English language twitter of the Ministry of Foreign Affairs of the Republic of Belarus (For tweets in Belarusian and Russian please follow @BelarusMID)",TRUE,27896,669,9813,2022-05-22 11:40:49,"1520388633664053248","1478287579481088004",2022-04-30,2022-01-04
"303862998","PDChina","People's Daily, China","The largest newspaper in China",TRUE,6844750,4314,110856,2022-05-22 11:40:49,"1520327095842488321","1491858255978516484",2022-04-30,2022-02-10
"3131144855","BorisJohnson","Boris Johnson","Prime Minister of the United Kingdom and @Conservatives leader. Member of Parliament for Uxbridge and South Ruislip.",TRUE,4443436,459,5767,2022-05-22 11:40:49,"1520492999624609792","1477202507470454787",2022-04-30,2022-01-01
"3150940290","thewire_in","The Wire","India's foremost independent news-site, carrying critical opinion, investigations and reportage. 

Click here to support us: https://t.co/zqZwu8jH0P",TRUE,1199816,391,131512,2022-05-22 11:40:49,"1520425517174108160","1505833109660798979",2022-04-30,2022-03-21
"34116377","ScottMorrisonMP","Scott Morrison","Prime Minister of Australia and Federal Member for Cook. Authorised by S. Morrison, Liberal Party, Canberra.",TRUE,661021,1712,8246,2022-05-22 11:40:49,"1519893481682259968","1478848008363991049",2022-04-29,2022-01-05
"36329597","Europarl_EN","European Parliament","Follow for the latest information from the European Parliament. Account managed by the Parliament's web team. Privacy statement: https://t.co/pgMRBckG2S",TRUE,885983,9019,21870,2022-05-22 11:40:49,"1520384220585242624","1477233144214478851",2022-04-30,2022-01-01
"36670025","BBCAfrica","BBC News Africa","African news from the BBC. Facebook: https://t.co/WO6e37RBOY Instagram: https://t.co/DI6qruNWHJ YouTube: https://t.co/ZJFI3G9fex",TRUE,3633347,1530,88971,2022-05-22 11:40:49,"1520410433160626177","1477159658662109184",2022-04-30,2022-01-01
"3987701367","oleksiireznikov","Oleksii Reznikov","Minister of Defence of Ukraine",TRUE,370065,131,350,2022-05-22 11:40:49,"1519973913882726400","1477956243931246593",2022-04-29,2022-01-03
"39922594","Diplomat_APAC","The Diplomat","The Diplomat: the premier international affairs magazine for the Asia-Pacific, covering politics, defense and society from China and Iran to Burma and Australia",TRUE,204711,850,98430,2022-05-22 11:40:49,"1520551587839627264","1481121256896229377",2022-04-30,2022-01-12
"428333","cnnbrk","CNN Breaking News","Breaking news from CNN Digital. Now 62M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/8bf79vV51N",TRUE,63128849,121,77839,2022-05-22 11:40:49,"1520504821949898753","1477089492502822912",2022-04-30,2022-01-01
"4823433298","sandumaiamd","Maia Sandu","President of the Republic of Moldova",TRUE,84660,77,305,2022-05-22 11:40:49,"1519693192710533121","1480824638196396035",2022-04-28,2022-01-11
"4970411","AJEnglish","Al Jazeera English","Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.",TRUE,7816240,240,305635,2022-05-22 11:40:49,"1520538235323228164","1512226216987684867",2022-04-30,2022-04-08
"500704345","Pontifex","Pope Francis","Welcome to the official Twitter page of His Holiness Pope Francis",TRUE,18958715,8,4097,2022-05-22 11:40:49,"1520364844368773122","1477187838873456640",2022-04-30,2022-01-01
"612473","BBCNews","BBC News (UK)","News, features and analysis. For world news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport. Our Instagram: BBCNews",TRUE,13952653,93,492781,2022-05-22 11:40:49,"1520542864446525442","1514720038548291593",2022-04-30,2022-04-14
"6134882","dwnews","DW News","We really know Germany 🇩🇪. Follow us for trustworthy news and analysis from our reporters around the world. We also have a sense of humor. Sometimes.",TRUE,602343,604,308593,2022-05-22 11:40:49,"1520549811656675328","1503897334446321665",2022-04-30,2022-03-16
